event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,has_fatalities,event_week,event_month
UKR211411,2025-03-03,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Ukraine (2019-),Ukraine,Sumy,Sumskyi,Novenke,51.2223,35.1055,Ministry of Defence of Russia,"On 3 March 2025, Russian Forces launched air strikes and shelled Ukrainian positions near Novenke, Sumy, with artillery. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRN30524,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Hormozgan,Bandar-Lengeh,Lavan Island,26.8074,53.3741,Human Rights Activists in Iran (HRA),"On 3 March 2025, Continental Plateau Oil Company employees under the Ministry of Petroleum protested on the Salman oil platform in Lavan Island (Bandar-Lengeh, Hormozgan) to demand the removal of the salary cap, the removal of the limitation of retirement years and the return of excess tax deductions.",0,False,2025-03-03/2025-03-09,2025-03
USA78062,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Georgia,Fulton,Atlanta,33.7559,-84.3898,Atlanta News First; Fox5 Atlanta,"On 3 March 2025, Democratic Representative Nikema Williams and community members gathered in Atlanta (Georgia) to protest against the Trump administration's mass layoffs of federal workers, as well as against Elon Musk and DOGE. Members from the American Federation of Government Employees (AFGE) attended the event. Demonstrators held signs with messages like 'Stop the Billionaire Takeover.'",0,False,2025-03-03/2025-03-09,2025-03
IRN30532,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Fars,Shiraz,Shiraz,29.6103,52.5311,Eteraze Bazar,"On 3 March 2025, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Shiraz city (Shiraz, Fars) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,False,2025-03-03/2025-03-09,2025-03
IRN30543,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Qazvin,Qazvin,Qazvin,36.2688,50.0041,Human Rights Activists in Iran (HRA),"On 3 March 2025, applicants of the National Housing project held a protest outside the provincial court in Qazvin city (Qazvin, Qazvin) to demand an end to the uncertainty of their contracts.",0,False,2025-03-03/2025-03-09,2025-03
USA78059,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Georgia,DeKalb,Decatur,33.7748,-84.2963,WABE,"On 3 March 2025, more than 100 demonstrators gathered outside a Tesla dealership in Decatur (Georgia) to protest against Elon Musk and DOGE. Indivisible GA-04 organized the event and members from Avondale ACTion, Indivisible Marching Buddies, Indivisible ATL, and Common Defense (a progressive organization for veterans) attended the demonstration.",0,False,2025-03-03/2025-03-09,2025-03
IRQ62962,2025-03-03,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Gire Amediye,37.1134,43.511,People's Defense Forces,"On 3 March 2025, Turkish army drones carried out airstrikes against PKK war tunnels in the Gire Amediye area (Al Amadiya, Duhok). Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
USA78053,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Georgia,Fulton,Atlanta,33.7559,-84.3898,Channel 2 (Atlanta); Liberation News,"On 3 March 2025, dozens with the Party for Socialism and Liberation and GALEO (a Latin American community fund) gathered at Plaza Fiesta in Atlanta (Georgia) to protest against the Trump administration's deportation policies and demand the abolition of ICE. The demonstration was part of the nationwide 'A Day Without Immigrants' movement. Members of the Mexican and Guatemalan communities were likely present (based on the presence of flags from these countries and signs in Spanish).",0,False,2025-03-03/2025-03-09,2025-03
USA78050,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Louisiana,East Baton Rouge,Baton Rouge,30.4473,-91.189,WAFB Channel 9,"On 3 March 2025, transit workers with the Amalgamated Transit Union (affiliated with AFL-CIO) held a strike and picketed in Baton Rouge (Louisiana) to demand a wage increase and safer working conditions from the Capitol Area Transit System.",0,False,2025-03-03/2025-03-09,2025-03
IRQ63002,2025-03-03,2025,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Iraq),Civilians (Iraq),Iraq,Baghdad,Al Thawra,Baghdad - Sadr City,33.3912,44.4575,Al Sumaria TV,"On 3 March 2025, unknown gunmen riding a motorcycle opened fire and killed a civilian in Baghdad - Sadr City. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
IRQ63019,2025-03-03,2025,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Iraq (2022-) Popular Mobilization Forces,Islamic State in Iraq and the Levant (ISIL),Iraq,Al Anbar,Al Ramadi,Ramadi,33.4206,43.3078,Al Maloomah,"Property destruction: On 3 March 2025, the PMF discovered and destroyed an IS hideout, including two lorry trucks that were hidden inside, in the desert area of the Western Anbar (Coded as Ramadi City).",0,False,2025-03-03/2025-03-09,2025-03
USA77994,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Colorado,Boulder,Boulder,40.0149,-105.27,Denver Post,"On 3 March 2025, close to 1,000 demonstrators gathered outside the National Oceanic and Atmospheric Administration campus in Boulder (Colorado) to protest the Trump administration's mass firing of federal employees and to speak out against Elon Musk, who, as head of the Department of Government Efficiency, is overseeing the layoffs and funding freezes. Former U.S. Representative David Skaggs was also present.",0,False,2025-03-03/2025-03-09,2025-03
IRQ63024,2025-03-03,2025,Strategic developments,Strategic developments,Looting/property destruction,Police Forces of Iraq (2022-),Islamic State in Iraq and the Levant (ISIL),Iraq,Diyala,Al Muqdadiya,Hamrin Mountains - Diyala,34.025,45.09,Al Maloomah; Baghdad Today; National Iraqi News Agency,"Property destruction: On 3 March 2025, police forces found and destroyed 3 IS militants' hideouts during the Khashm Al-Ahmar Basin operation carried out in Hamrin Mountains - Diyala (Diyala).",0,False,2025-03-03/2025-03-09,2025-03
IRQ63025,2025-03-03,2025,Strategic developments,Strategic developments,Other,Civilians (Iraq),Unknown,Iraq,Duhok,Zakho,Cham Mishkaw,37.1598,42.615,ANF News,"Displacement: On 3 March 2025, 42 displaced families (163 people) returned from Cham Mishkaw Camp (Zakho, Duhok) to their original areas in Sinjar district of Ninewa governorate.",0,False,2025-03-03/2025-03-09,2025-03
UKR212232,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Zolota Balka,47.3784,33.9647,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Zolota Balka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRN30522,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Kohgiluyeh and Boyer-Ahmad,Yasooj,Yasuj,30.6682,51.588,Human Rights Activists in Iran (HRA),"On 3 March 2025, employees at the Yasuj University of Medical Sciences staged a protest in front of the provincial governors's office in Yasuj city (Yasooj, Kohgiluyeh and Boyer-Ahmad) over the lack of salary equalization and poor living conditions.",0,False,2025-03-03/2025-03-09,2025-03
UKR212231,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Zmiivka,46.8646,33.5835,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Zmiivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRQ63035,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Unknown,Iraq,Wassit,Al Kut,Kut,32.5056,45.8247,Al Sumaria TV,"On 3 March 2025, residents gathered in a protest in Kut City (Wassit) against removing the Ridhawi guest house.",0,False,2025-03-03/2025-03-09,2025-03
UKR212229,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Vesele,47.4392,33.0446,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Vesele, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212228,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Tomyna Balka,46.6244,32.3078,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Tomyna Balka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212227,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Tokarivka,46.7504,32.9513,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Tokarivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212226,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Shlyakhove,46.8685,33.43,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Shlyakhove, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212224,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Kherson,Khersonskyi,Sadove,46.7048,32.8225,Ministry of Defence of Russia,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Ukrainian positions near Sadove, Kherson. According to Russian sources, 60 Ukrainian soldiers, including from the territorial defense units (coded to Sadove), were killed in the area of Sadove, Mykhailivka and Mali Scherbaky [Russian MoD reported 60 fatalities. Coded as 10 fatalities split across 3 events. 4 fatalities coded to this event].",4,True,2025-03-03/2025-03-09,2025-03
